时间,鸿旺,欧伦
2024-07-28 00:00:00,0.0,0.0
2024-07-28 00:15:00,0.0,0.0
2024-07-28 00:30:00,0.0,0.0
2024-07-28 00:45:00,0.0,0.0
2024-07-28 01:00:00,0.0,0.0
2024-07-28 01:15:00,0.0,0.0
2024-07-28 01:30:00,0.0,0.0
2024-07-28 01:45:00,0.0,0.0
2024-07-28 02:00:00,0.0,0.0
2024-07-28 02:15:00,0.0,0.0
2024-07-28 02:30:00,0.0,0.0
2024-07-28 02:45:00,0.0,0.0
2024-07-28 03:00:00,0.0,0.0
2024-07-28 03:15:00,0.0,0.0
2024-07-28 03:30:00,0.0,0.0
2024-07-28 03:45:00,0.0,0.0
2024-07-28 04:00:00,0.0,0.0
2024-07-28 04:15:00,0.0,0.0
2024-07-28 04:30:00,0.0,0.0
2024-07-28 04:45:00,0.0,0.0
2024-07-28 05:00:00,0.00035,0.00035
2024-07-28 05:15:00,0.00267,0.00295
2024-07-28 05:30:00,0.01512,0.01559
2024-07-28 05:45:00,0.03331,0.03478
2024-07-28 06:00:00,0.06543,0.07
2024-07-28 06:15:00,0.12656,0.12471
2024-07-28 06:30:00,0.19292,0.18825
2024-07-28 06:45:00,0.25754,0.25317
2024-07-28 07:00:00,0.35225,0.33089
2024-07-28 07:15:00,0.42897,0.40033
2024-07-28 07:30:00,0.50237,0.46864
2024-07-28 07:45:00,0.60929,0.55903
2024-07-28 08:00:00,0.70157,0.64184
2024-07-28 08:15:00,0.76632,0.69917
2024-07-28 08:30:00,0.81947,0.74307
2024-07-28 08:45:00,0.88757,0.81192
2024-07-28 09:00:00,0.95095,0.86672
2024-07-28 09:15:00,1.01807,0.92165
2024-07-28 09:30:00,1.06899,0.97013
2024-07-28 09:45:00,1.14783,1.0707
2024-07-28 10:00:00,1.1389,1.09958
2024-07-28 10:15:00,1.008,0.92562
2024-07-28 10:30:00,1.2156,0.86121
2024-07-28 10:45:00,1.21329,1.2067
2024-07-28 11:00:00,1.23583,1.12783
2024-07-28 11:15:00,1.17385,0.91923
2024-07-28 11:30:00,0.99416,1.00445
2024-07-28 11:45:00,0.79347,0.89245
2024-07-28 12:00:00,1.00007,1.11615
2024-07-28 12:15:00,0.5785,0.68605
2024-07-28 12:30:00,0.68025,0.51712
2024-07-28 12:45:00,0.67398,0.70535
2024-07-28 13:00:00,0.47361,0.45
2024-07-28 13:15:00,0.59176,0.6436
2024-07-28 13:30:00,0.96708,0.73498
2024-07-28 13:45:00,1.23573,0.96051
2024-07-28 14:00:00,1.06655,0.99997
2024-07-28 14:15:00,0.99985,0.94152
2024-07-28 14:30:00,0.97634,0.89755
2024-07-28 14:45:00,0.92854,0.85235
2024-07-28 15:00:00,0.87863,0.81462
2024-07-28 15:15:00,0.82854,0.72769
2024-07-28 15:30:00,0.61956,0.38643
2024-07-28 15:45:00,0.68011,0.64911
2024-07-28 16:00:00,0.61867,0.59873
2024-07-28 16:15:00,0.51497,0.51268
2024-07-28 16:30:00,0.43431,0.427
2024-07-28 16:45:00,0.34793,0.35521
2024-07-28 17:00:00,0.25828,0.28027
2024-07-28 17:15:00,0.19288,0.20559
2024-07-28 17:30:00,0.12052,0.14654
2024-07-28 17:45:00,0.07397,0.0922
2024-07-28 18:00:00,0.045,0.05938
2024-07-28 18:15:00,0.03219,0.04138
2024-07-28 18:30:00,0.0223,0.02608
2024-07-28 18:45:00,0.00985,0.0096
2024-07-28 19:00:00,0.00153,0.00066
2024-07-28 19:15:00,0.00024,0.00024
2024-07-28 19:30:00,0.00024,0.00022
2024-07-28 19:45:00,0.00016,0.0
2024-07-28 20:00:00,8e-05,0.0
2024-07-28 20:15:00,0.0,0.0
2024-07-28 20:30:00,0.0,0.0
2024-07-28 20:45:00,0.0,0.0
2024-07-28 21:00:00,0.0,0.0
2024-07-28 21:15:00,0.0,0.0
2024-07-28 21:30:00,0.0,0.0
2024-07-28 21:45:00,0.0,0.0
2024-07-28 22:00:00,0.0,0.0
2024-07-28 22:15:00,0.0,0.0
2024-07-28 22:30:00,0.0,0.0
2024-07-28 22:45:00,0.0,0.0
2024-07-28 23:00:00,0.0,0.0
2024-07-28 23:15:00,0.0,0.0
2024-07-28 23:30:00,0.0,0.0
2024-07-28 23:45:00,0.0,0.0
