时间,鸿旺,欧伦
2024-07-09 00:00:00,0.0,0.0
2024-07-09 00:15:00,0.0,0.0
2024-07-09 00:30:00,0.0,0.0
2024-07-09 00:45:00,0.0,0.0
2024-07-09 01:00:00,0.0,0.0
2024-07-09 01:15:00,0.0,0.0
2024-07-09 01:30:00,0.0,0.0
2024-07-09 01:45:00,0.0,0.0
2024-07-09 02:00:00,0.0,0.0
2024-07-09 02:15:00,0.0,0.0
2024-07-09 02:30:00,0.0,0.0
2024-07-09 02:45:00,0.0,0.0
2024-07-09 03:00:00,0.0,0.0
2024-07-09 03:15:00,0.0,0.0
2024-07-09 03:30:00,0.0,0.0
2024-07-09 03:45:00,0.0,0.0
2024-07-09 04:00:00,0.0,0.0
2024-07-09 04:15:00,0.0,0.0
2024-07-09 04:30:00,0.0,0.0
2024-07-09 04:45:00,0.0,0.00035
2024-07-09 05:00:00,0.00042,0.00054
2024-07-09 05:15:00,0.00418,0.00375
2024-07-09 05:30:00,0.02166,0.02055
2024-07-09 05:45:00,0.04601,0.05024
2024-07-09 06:00:00,0.08298,0.08126
2024-07-09 06:15:00,0.10336,0.10288
2024-07-09 06:30:00,0.13061,0.12937
2024-07-09 06:45:00,0.18613,0.18001
2024-07-09 07:00:00,0.27001,0.26609
2024-07-09 07:15:00,0.33188,0.32313
2024-07-09 07:30:00,0.3832,0.3649
2024-07-09 07:45:00,0.58047,0.60409
2024-07-09 08:00:00,0.70939,0.65713
2024-07-09 08:15:00,0.80093,0.74438
2024-07-09 08:30:00,0.8361,0.77738
2024-07-09 08:45:00,0.83639,0.77531
2024-07-09 09:00:00,0.79608,0.75144
2024-07-09 09:15:00,0.71472,0.69131
2024-07-09 09:30:00,0.54715,0.51864
2024-07-09 09:45:00,0.49658,0.47921
2024-07-09 10:00:00,0.46709,0.4544
2024-07-09 10:15:00,0.45602,0.44127
2024-07-09 10:30:00,0.49661,0.48046
2024-07-09 10:45:00,0.57272,0.5511
2024-07-09 11:00:00,0.58892,0.56329
2024-07-09 11:15:00,0.56552,0.54392
2024-07-09 11:30:00,0.51404,0.49778
2024-07-09 11:45:00,0.78892,0.70564
2024-07-09 12:00:00,1.13261,1.08886
2024-07-09 12:15:00,0.70665,0.66673
2024-07-09 12:30:00,0.76702,0.59369
2024-07-09 12:45:00,0.98653,0.83751
2024-07-09 13:00:00,0.98182,0.84597
2024-07-09 13:15:00,0.65553,0.53183
2024-07-09 13:30:00,0.58714,0.59338
2024-07-09 13:45:00,0.81064,0.75466
2024-07-09 14:00:00,0.74754,1.08927
2024-07-09 14:15:00,0.89685,0.88362
2024-07-09 14:30:00,0.78512,0.708
2024-07-09 14:45:00,0.76921,0.70796
2024-07-09 15:00:00,0.60873,0.59873
2024-07-09 15:15:00,0.37634,0.35028
2024-07-09 15:30:00,0.44191,0.41932
2024-07-09 15:45:00,0.59896,0.54894
2024-07-09 16:00:00,0.61483,0.48104
2024-07-09 16:15:00,0.56662,0.65603
2024-07-09 16:30:00,0.44156,0.45738
2024-07-09 16:45:00,0.33512,0.3196
2024-07-09 17:00:00,0.24081,0.25392
2024-07-09 17:15:00,0.22608,0.22785
2024-07-09 17:30:00,0.1805,0.18448
2024-07-09 17:45:00,0.1413,0.14618
2024-07-09 18:00:00,0.12315,0.13921
2024-07-09 18:15:00,0.10134,0.11603
2024-07-09 18:30:00,0.07436,0.08399
2024-07-09 18:45:00,0.03255,0.03396
2024-07-09 19:00:00,0.0054,0.0068
2024-07-09 19:15:00,0.00024,0.00026
2024-07-09 19:30:00,0.00024,0.00024
2024-07-09 19:45:00,0.00024,0.00022
2024-07-09 20:00:00,0.00016,0.0
2024-07-09 20:15:00,8e-05,0.0
2024-07-09 20:30:00,0.0,0.0
2024-07-09 20:45:00,0.0,0.0
2024-07-09 21:00:00,0.0,0.0
2024-07-09 21:15:00,0.0,0.0
2024-07-09 21:30:00,0.0,0.0
2024-07-09 21:45:00,0.0,0.0
2024-07-09 22:00:00,0.0,0.0
2024-07-09 22:15:00,0.0,0.0
2024-07-09 22:30:00,0.0,0.0
2024-07-09 22:45:00,0.0,0.0
2024-07-09 23:00:00,0.0,0.0
2024-07-09 23:15:00,0.0,0.0
2024-07-09 23:30:00,0.0,0.0
2024-07-09 23:45:00,0.0,0.0
