时间,鸿旺,欧伦
2024-05-10 00:00:00,0.0,0.0
2024-05-10 00:15:00,0.0,0.0
2024-05-10 00:30:00,0.0,0.0
2024-05-10 00:45:00,0.0,0.0
2024-05-10 01:00:00,0.0,0.0
2024-05-10 01:15:00,0.0,0.0
2024-05-10 01:30:00,0.0,0.0
2024-05-10 01:45:00,0.0,0.0
2024-05-10 02:00:00,0.0,0.0
2024-05-10 02:15:00,0.0,0.0
2024-05-10 02:30:00,0.0,0.0
2024-05-10 02:45:00,0.0,0.0
2024-05-10 03:00:00,0.0,0.0
2024-05-10 03:15:00,0.0,0.0
2024-05-10 03:30:00,0.0,0.0
2024-05-10 03:45:00,0.0,0.0
2024-05-10 04:00:00,0.0,0.0
2024-05-10 04:15:00,0.0,0.0
2024-05-10 04:30:00,0.0,0.0
2024-05-10 04:45:00,0.0002,0.00029
2024-05-10 05:00:00,0.00057,0.00053
2024-05-10 05:15:00,0.00759,0.00713
2024-05-10 05:30:00,0.0292,0.03282
2024-05-10 05:45:00,0.0605,0.06119
2024-05-10 06:00:00,0.10223,0.09576
2024-05-10 06:15:00,0.14523,0.13895
2024-05-10 06:30:00,0.21718,0.20289
2024-05-10 06:45:00,0.30111,0.27702
2024-05-10 07:00:00,0.38043,0.34241
2024-05-10 07:15:00,0.46178,0.40836
2024-05-10 07:30:00,0.55109,0.48348
2024-05-10 07:45:00,0.57501,0.51923
2024-05-10 08:00:00,0.70917,0.61196
2024-05-10 08:15:00,0.78382,0.67338
2024-05-10 08:30:00,0.83835,0.72899
2024-05-10 08:45:00,0.91079,0.78576
2024-05-10 09:00:00,0.96395,0.82595
2024-05-10 09:15:00,1.01489,0.8696
2024-05-10 09:30:00,1.05932,0.90862
2024-05-10 09:45:00,1.1174,0.95472
2024-05-10 10:00:00,1.14157,0.97541
2024-05-10 10:15:00,1.17064,0.99955
2024-05-10 10:30:00,1.19219,1.02868
2024-05-10 10:45:00,1.19745,1.03571
2024-05-10 11:00:00,1.22851,1.07674
2024-05-10 11:15:00,1.22597,1.05269
2024-05-10 11:30:00,1.20196,1.04607
2024-05-10 11:45:00,1.23106,1.0735
2024-05-10 12:00:00,1.27363,1.095
2024-05-10 12:15:00,1.19739,1.03126
2024-05-10 12:30:00,1.19719,1.04067
2024-05-10 12:45:00,1.17363,1.038
2024-05-10 13:00:00,1.1912,0.99443
2024-05-10 13:15:00,1.1135,0.95497
2024-05-10 13:30:00,1.07746,0.92202
2024-05-10 13:45:00,1.10917,0.95218
2024-05-10 14:00:00,1.01961,0.87139
2024-05-10 14:15:00,0.98703,0.8531
2024-05-10 14:30:00,0.9107,0.80161
2024-05-10 14:45:00,0.82624,0.74262
2024-05-10 15:00:00,0.81778,0.7265
2024-05-10 15:15:00,0.69276,0.58758
2024-05-10 15:30:00,0.65711,0.56647
2024-05-10 15:45:00,0.44314,0.46455
2024-05-10 16:00:00,0.54804,0.50379
2024-05-10 16:15:00,0.30704,0.2656
2024-05-10 16:30:00,0.21728,0.20503
2024-05-10 16:45:00,0.33403,0.3117
2024-05-10 17:00:00,0.16825,0.16398
2024-05-10 17:15:00,0.13697,0.12824
2024-05-10 17:30:00,0.11671,0.1125
2024-05-10 17:45:00,0.09143,0.08552
2024-05-10 18:00:00,0.05547,0.05231
2024-05-10 18:15:00,0.02836,0.0262
2024-05-10 18:30:00,0.00801,0.00662
2024-05-10 18:45:00,0.0003,0.0003
2024-05-10 19:00:00,0.00024,0.00024
2024-05-10 19:15:00,0.0002,0.00022
2024-05-10 19:30:00,0.00015,0.00011
2024-05-10 19:45:00,0.0001,0.0
2024-05-10 20:00:00,5e-05,0.0
2024-05-10 20:15:00,0.0,0.0
2024-05-10 20:30:00,0.0,0.0
2024-05-10 20:45:00,0.0,0.0
2024-05-10 21:00:00,0.0,0.0
2024-05-10 21:15:00,0.0,0.0
2024-05-10 21:30:00,0.0,0.0
2024-05-10 21:45:00,0.0,0.0
2024-05-10 22:00:00,0.0,0.0
2024-05-10 22:15:00,0.0,0.0
2024-05-10 22:30:00,0.0,0.0
2024-05-10 22:45:00,0.0,0.0
2024-05-10 23:00:00,0.0,0.0
2024-05-10 23:15:00,0.0,0.0
2024-05-10 23:30:00,0.0,0.0
2024-05-10 23:45:00,0.0,0.0
