时间,鸿旺,欧伦
2024-09-15 00:00:00,0.0,0.0
2024-09-15 00:15:00,0.0,0.0
2024-09-15 00:30:00,0.0,0.0
2024-09-15 00:45:00,0.0,0.0
2024-09-15 01:00:00,0.0,0.0
2024-09-15 01:15:00,0.0,0.0
2024-09-15 01:30:00,0.0,0.0
2024-09-15 01:45:00,0.0,0.0
2024-09-15 02:00:00,0.0,0.0
2024-09-15 02:15:00,0.0,0.0
2024-09-15 02:30:00,0.0,0.0
2024-09-15 02:45:00,0.0,0.0
2024-09-15 03:00:00,0.0,0.0
2024-09-15 03:15:00,0.0,0.0
2024-09-15 03:30:00,0.0,0.0
2024-09-15 03:45:00,0.0,0.0
2024-09-15 04:00:00,0.0,0.0
2024-09-15 04:15:00,0.0,0.0
2024-09-15 04:30:00,0.0,0.0
2024-09-15 04:45:00,0.0,0.0
2024-09-15 05:00:00,0.0,0.0
2024-09-15 05:15:00,0.0,0.0
2024-09-15 05:30:00,0.00057,0.00025
2024-09-15 05:45:00,0.00078,0.00112
2024-09-15 06:00:00,0.01476,0.01455
2024-09-15 06:15:00,0.03623,0.04886
2024-09-15 06:30:00,0.07841,0.07859
2024-09-15 06:45:00,0.11643,0.11144
2024-09-15 07:00:00,0.15066,0.13248
2024-09-15 07:15:00,0.13668,0.13988
2024-09-15 07:30:00,0.25791,0.23092
2024-09-15 07:45:00,0.17948,0.1755
2024-09-15 08:00:00,0.25828,0.24496
2024-09-15 08:15:00,0.28917,0.27487
2024-09-15 08:30:00,0.25475,0.42427
2024-09-15 08:45:00,0.58239,0.49901
2024-09-15 09:00:00,0.32503,0.53206
2024-09-15 09:15:00,1.00088,0.88141
2024-09-15 09:30:00,0.67115,0.41366
2024-09-15 09:45:00,1.19739,1.12329
2024-09-15 10:00:00,1.21368,1.17327
2024-09-15 10:15:00,0.48057,0.45627
2024-09-15 10:30:00,0.57191,0.5337
2024-09-15 10:45:00,0.39695,0.42019
2024-09-15 11:00:00,0.3219,0.31498
2024-09-15 11:15:00,0.26673,0.28542
2024-09-15 11:30:00,0.25656,0.25145
2024-09-15 11:45:00,0.63485,0.61727
2024-09-15 12:00:00,0.45307,0.41945
2024-09-15 12:15:00,0.91987,0.93254
2024-09-15 12:30:00,1.06887,0.96634
2024-09-15 12:45:00,0.74404,0.67786
2024-09-15 13:00:00,1.04149,0.90721
2024-09-15 13:15:00,0.29698,0.20233
2024-09-15 13:30:00,0.22912,0.22319
2024-09-15 13:45:00,0.302,0.27641
2024-09-15 14:00:00,0.26926,0.27185
2024-09-15 14:15:00,0.31636,0.30838
2024-09-15 14:30:00,0.39407,0.37511
2024-09-15 14:45:00,0.27133,0.35638
2024-09-15 15:00:00,0.06272,0.06477
2024-09-15 15:15:00,0.29998,0.25929
2024-09-15 15:30:00,0.54219,0.34593
2024-09-15 15:45:00,0.24822,0.25413
2024-09-15 16:00:00,0.15099,0.14114
2024-09-15 16:15:00,0.16245,0.1583
2024-09-15 16:30:00,0.15862,0.16054
2024-09-15 16:45:00,0.14907,0.14647
2024-09-15 17:00:00,0.09148,0.09223
2024-09-15 17:15:00,0.05761,0.0529
2024-09-15 17:30:00,0.05246,0.0554
2024-09-15 17:45:00,0.01569,0.01753
2024-09-15 18:00:00,0.00102,0.00092
2024-09-15 18:15:00,0.00078,0.00076
2024-09-15 18:30:00,0.00024,0.00024
2024-09-15 18:45:00,0.00022,0.00024
2024-09-15 19:00:00,0.00015,0.0
2024-09-15 19:15:00,7e-05,0.0
2024-09-15 19:30:00,0.0,0.0
2024-09-15 19:45:00,0.0,0.0
2024-09-15 20:00:00,0.0,0.0
2024-09-15 20:15:00,0.0,0.0
2024-09-15 20:30:00,0.0,0.0
2024-09-15 20:45:00,0.0,0.0
2024-09-15 21:00:00,0.0,0.0
2024-09-15 21:15:00,0.0,0.0
2024-09-15 21:30:00,0.0,0.0
2024-09-15 21:45:00,0.0,0.0
2024-09-15 22:00:00,0.0,0.0
2024-09-15 22:15:00,0.0,0.0
2024-09-15 22:30:00,0.0,0.0
2024-09-15 22:45:00,0.0,0.0
2024-09-15 23:00:00,0.0,0.0
2024-09-15 23:15:00,0.0,0.0
2024-09-15 23:30:00,0.0,0.0
2024-09-15 23:45:00,0.0,0.0
