时间,鸿旺,欧伦
2022-06-16 00:00:00,0.0,0.0
2022-06-16 00:15:00,0.0,0.0
2022-06-16 00:30:00,0.0,0.0
2022-06-16 00:45:00,0.0,0.0
2022-06-16 01:00:00,0.0,0.0
2022-06-16 01:15:00,0.0,0.0
2022-06-16 01:30:00,0.0,0.0
2022-06-16 01:45:00,0.0,0.0
2022-06-16 02:00:00,0.0,0.0
2022-06-16 02:15:00,0.0,0.0
2022-06-16 02:30:00,0.0,0.0
2022-06-16 02:45:00,0.0,0.0
2022-06-16 03:00:00,0.0,0.0
2022-06-16 03:15:00,0.0,0.0
2022-06-16 03:30:00,0.0,0.0
2022-06-16 03:45:00,0.0,0.0
2022-06-16 04:00:00,0.0,0.0
2022-06-16 04:15:00,0.0,0.0
2022-06-16 04:30:00,0.0,0.0
2022-06-16 04:45:00,0.00055,0.00035
2022-06-16 05:00:00,0.0035,0.00368
2022-06-16 05:15:00,0.01762,0.01369
2022-06-16 05:30:00,0.0401,0.03594
2022-06-16 05:45:00,0.0713,0.06357
2022-06-16 06:00:00,0.11254,0.09927
2022-06-16 06:15:00,0.175,0.14929
2022-06-16 06:30:00,0.24555,0.20344
2022-06-16 06:45:00,0.33518,0.26719
2022-06-16 07:00:00,0.35703,0.28446
2022-06-16 07:15:00,0.44191,0.34823
2022-06-16 07:30:00,0.56756,0.45392
2022-06-16 07:45:00,0.64347,0.48779
2022-06-16 08:00:00,0.7043,0.53577
2022-06-16 08:15:00,0.80239,0.57516
2022-06-16 08:30:00,0.60893,0.47386
2022-06-16 08:45:00,0.60787,0.47047
2022-06-16 09:00:00,0.52207,0.41597
2022-06-16 09:15:00,0.51181,0.38625
2022-06-16 09:30:00,0.48263,0.3852
2022-06-16 09:45:00,0.51158,0.40194
2022-06-16 10:00:00,0.51245,0.4069
2022-06-16 10:15:00,0.5572,0.44056
2022-06-16 10:30:00,0.59815,0.47482
2022-06-16 10:45:00,0.67513,0.51602
2022-06-16 11:00:00,0.7159,0.54605
2022-06-16 11:15:00,0.77981,0.61809
2022-06-16 11:30:00,0.71077,0.57703
2022-06-16 11:45:00,1.17494,0.84745
2022-06-16 12:00:00,0.83655,0.70198
2022-06-16 12:15:00,0.75298,0.58627
2022-06-16 12:30:00,1.12937,0.83237
2022-06-16 12:45:00,0.91888,0.7462
2022-06-16 13:00:00,1.20361,0.89951
2022-06-16 13:15:00,1.1435,0.8693
2022-06-16 13:30:00,0.8816,0.68099
2022-06-16 13:45:00,0.93976,0.75666
2022-06-16 14:00:00,0.59281,0.51554
2022-06-16 14:15:00,0.96447,0.74744
2022-06-16 14:30:00,0.72982,0.56322
2022-06-16 14:45:00,0.87736,0.691
2022-06-16 15:00:00,0.6681,0.5599
2022-06-16 15:15:00,0.63396,0.43635
2022-06-16 15:30:00,0.76755,0.57206
2022-06-16 15:45:00,0.6182,0.49997
2022-06-16 16:00:00,0.54698,0.45034
2022-06-16 16:15:00,0.46824,0.39198
2022-06-16 16:30:00,0.41022,0.35186
2022-06-16 16:45:00,0.3329,0.2878
2022-06-16 17:00:00,0.25679,0.23512
2022-06-16 17:15:00,0.18544,0.18251
2022-06-16 17:30:00,0.13282,0.13307
2022-06-16 17:45:00,0.09282,0.09436
2022-06-16 18:00:00,0.06469,0.06759
2022-06-16 18:15:00,0.04661,0.04792
2022-06-16 18:30:00,0.03525,0.03087
2022-06-16 18:45:00,0.01975,0.01263
2022-06-16 19:00:00,0.00487,0.0035
2022-06-16 19:15:00,0.00087,0.00021
2022-06-16 19:30:00,0.00027,0.00018
2022-06-16 19:45:00,0.00022,0.00016
2022-06-16 20:00:00,0.00015,0.0
2022-06-16 20:15:00,7e-05,0.0
2022-06-16 20:30:00,0.0,0.0
2022-06-16 20:45:00,0.0,0.0
2022-06-16 21:00:00,0.0,0.0
2022-06-16 21:15:00,0.0,0.0
2022-06-16 21:30:00,0.0,0.0
2022-06-16 21:45:00,0.0,0.0
2022-06-16 22:00:00,0.0,0.0
2022-06-16 22:15:00,0.0,0.0
2022-06-16 22:30:00,0.0,0.0
2022-06-16 22:45:00,0.0,0.0
2022-06-16 23:00:00,0.0,0.0
2022-06-16 23:15:00,0.0,0.0
2022-06-16 23:30:00,0.0,0.0
2022-06-16 23:45:00,0.0,0.0
