时间,鸿旺,欧伦
2023-04-27 00:00:00,0.0,0.0
2023-04-27 00:15:00,0.0,0.0
2023-04-27 00:30:00,0.0,0.0
2023-04-27 00:45:00,0.0,0.0
2023-04-27 01:00:00,0.0,0.0
2023-04-27 01:15:00,0.0,0.0
2023-04-27 01:30:00,0.0,0.0
2023-04-27 01:45:00,0.0,0.0
2023-04-27 02:00:00,0.0,0.0
2023-04-27 02:15:00,0.0,0.0
2023-04-27 02:30:00,0.0,0.0
2023-04-27 02:45:00,0.0,0.0
2023-04-27 03:00:00,0.0,0.0
2023-04-27 03:15:00,0.0,0.0
2023-04-27 03:30:00,0.0,0.0
2023-04-27 03:45:00,0.0,0.0
2023-04-27 04:00:00,0.0,0.0
2023-04-27 04:15:00,0.0,0.0
2023-04-27 04:30:00,0.0,0.0
2023-04-27 04:45:00,0.0,0.0
2023-04-27 05:00:00,0.00054,0.00055
2023-04-27 05:15:00,0.00078,0.00114
2023-04-27 05:30:00,0.00726,0.00673
2023-04-27 05:45:00,0.02926,0.03075
2023-04-27 06:00:00,0.09508,0.10616
2023-04-27 06:15:00,0.13808,0.14352
2023-04-27 06:30:00,0.19871,0.20588
2023-04-27 06:45:00,0.25424,0.25635
2023-04-27 07:00:00,0.36696,0.36687
2023-04-27 07:15:00,0.44402,0.44054
2023-04-27 07:30:00,0.5347,0.51283
2023-04-27 07:45:00,0.62439,0.59109
2023-04-27 08:00:00,0.71666,0.68064
2023-04-27 08:15:00,0.80512,0.75651
2023-04-27 08:30:00,0.85919,0.82167
2023-04-27 08:45:00,0.89644,0.83277
2023-04-27 09:00:00,0.99372,0.93276
2023-04-27 09:15:00,1.07654,0.9962
2023-04-27 09:30:00,1.14047,1.09116
2023-04-27 09:45:00,1.17119,1.11647
2023-04-27 10:00:00,1.21264,1.13899
2023-04-27 10:15:00,1.26298,1.20423
2023-04-27 10:30:00,1.30429,1.22724
2023-04-27 10:45:00,1.29555,1.21062
2023-04-27 11:00:00,1.34106,1.2542
2023-04-27 11:15:00,1.33578,1.23308
2023-04-27 11:30:00,1.32871,1.22299
2023-04-27 11:45:00,1.32923,1.23517
2023-04-27 12:00:00,1.32566,1.23237
2023-04-27 12:15:00,1.30252,1.18621
2023-04-27 12:30:00,1.29668,1.19712
2023-04-27 12:45:00,1.257,1.15631
2023-04-27 13:00:00,1.25913,1.14693
2023-04-27 13:15:00,1.20441,1.11689
2023-04-27 13:30:00,1.18245,1.0941
2023-04-27 13:45:00,1.13573,1.0518
2023-04-27 14:00:00,1.07188,0.98383
2023-04-27 14:15:00,1.02465,0.94792
2023-04-27 14:30:00,0.9717,0.89959
2023-04-27 14:45:00,0.91299,0.84211
2023-04-27 15:00:00,0.84573,0.78705
2023-04-27 15:15:00,0.79156,0.72532
2023-04-27 15:30:00,0.55324,0.70395
2023-04-27 15:45:00,0.61872,0.59542
2023-04-27 16:00:00,0.42721,0.3739
2023-04-27 16:15:00,0.25314,0.23103
2023-04-27 16:30:00,0.40975,0.38319
2023-04-27 16:45:00,0.23203,0.24339
2023-04-27 17:00:00,0.17739,0.13433
2023-04-27 17:15:00,0.10644,0.11356
2023-04-27 17:30:00,0.11982,0.15703
2023-04-27 17:45:00,0.15548,0.09167
2023-04-27 18:00:00,0.05708,0.03213
2023-04-27 18:15:00,0.02388,0.01845
2023-04-27 18:30:00,0.00615,0.00232
2023-04-27 18:45:00,0.0003,0.00028
2023-04-27 19:00:00,0.00024,0.00024
2023-04-27 19:15:00,0.00024,0.00024
2023-04-27 19:30:00,0.00016,0.0
2023-04-27 19:45:00,8e-05,0.0
2023-04-27 20:00:00,0.0,0.0
2023-04-27 20:15:00,0.0,0.0
2023-04-27 20:30:00,0.0,0.0
2023-04-27 20:45:00,0.0,0.0
2023-04-27 21:00:00,0.0,0.0
2023-04-27 21:15:00,0.0,0.0
2023-04-27 21:30:00,0.0,0.0
2023-04-27 21:45:00,0.0,0.0
2023-04-27 22:00:00,0.0,0.0
2023-04-27 22:15:00,0.0,0.0
2023-04-27 22:30:00,0.0,0.0
2023-04-27 22:45:00,0.0,0.0
2023-04-27 23:00:00,0.0,0.0
2023-04-27 23:15:00,0.0,0.0
2023-04-27 23:30:00,0.0,0.0
2023-04-27 23:45:00,0.0,0.0
