时间,鸿旺,欧伦
2023-10-30 00:00:00,0.0,0.0
2023-10-30 00:15:00,0.0,0.0
2023-10-30 00:30:00,0.0,0.0
2023-10-30 00:45:00,0.0,0.0
2023-10-30 01:00:00,0.0,0.0
2023-10-30 01:15:00,0.0,0.0
2023-10-30 01:30:00,0.0,0.0
2023-10-30 01:45:00,0.0,0.0
2023-10-30 02:00:00,0.0,0.0
2023-10-30 02:15:00,0.0,0.0
2023-10-30 02:30:00,0.0,0.0
2023-10-30 02:45:00,0.0,0.0
2023-10-30 03:00:00,0.0,0.0
2023-10-30 03:15:00,0.0,0.0
2023-10-30 03:30:00,0.0,0.0
2023-10-30 03:45:00,0.0,0.0
2023-10-30 04:00:00,0.0,0.0
2023-10-30 04:15:00,0.0,0.0
2023-10-30 04:30:00,0.0,0.0
2023-10-30 04:45:00,0.0,0.0
2023-10-30 05:00:00,0.0,0.0
2023-10-30 05:15:00,0.0,0.0
2023-10-30 05:30:00,0.0,0.0
2023-10-30 05:45:00,0.0,0.0
2023-10-30 06:00:00,0.00045,0.00047
2023-10-30 06:15:00,0.00396,0.00287
2023-10-30 06:30:00,0.02392,0.02499
2023-10-30 06:45:00,0.05029,0.05089
2023-10-30 07:00:00,0.08834,0.1002
2023-10-30 07:15:00,0.12321,0.1553
2023-10-30 07:30:00,0.1629,0.23664
2023-10-30 07:45:00,0.22555,0.31197
2023-10-30 08:00:00,0.35965,0.39955
2023-10-30 08:15:00,0.47859,0.47431
2023-10-30 08:30:00,0.58369,0.53947
2023-10-30 08:45:00,0.65022,0.61356
2023-10-30 09:00:00,0.71302,0.68119
2023-10-30 09:15:00,0.76659,0.731
2023-10-30 09:30:00,0.80329,0.77288
2023-10-30 09:45:00,0.86305,0.83642
2023-10-30 10:00:00,0.92443,0.88421
2023-10-30 10:15:00,0.9588,0.9063
2023-10-30 10:30:00,0.99959,0.96396
2023-10-30 10:45:00,1.01811,0.96551
2023-10-30 11:00:00,1.03824,0.98142
2023-10-30 11:15:00,1.01041,0.96798
2023-10-30 11:30:00,1.00892,0.97904
2023-10-30 11:45:00,1.01891,0.97158
2023-10-30 12:00:00,0.88669,0.91481
2023-10-30 12:15:00,0.9836,0.91277
2023-10-30 12:30:00,0.97196,0.9113
2023-10-30 12:45:00,0.61063,0.67715
2023-10-30 13:00:00,0.53449,0.48537
2023-10-30 13:15:00,0.3658,0.45594
2023-10-30 13:30:00,0.61091,0.48533
2023-10-30 13:45:00,0.79762,0.67877
2023-10-30 14:00:00,0.78048,0.72039
2023-10-30 14:15:00,0.67382,0.64452
2023-10-30 14:30:00,0.60087,0.55926
2023-10-30 14:45:00,0.51065,0.48352
2023-10-30 15:00:00,0.46829,0.4478
2023-10-30 15:15:00,0.40094,0.38428
2023-10-30 15:30:00,0.32991,0.31562
2023-10-30 15:45:00,0.24574,0.23723
2023-10-30 16:00:00,0.17248,0.1619
2023-10-30 16:15:00,0.12183,0.11444
2023-10-30 16:30:00,0.07942,0.07531
2023-10-30 16:45:00,0.04501,0.04233
2023-10-30 17:00:00,0.01638,0.01421
2023-10-30 17:15:00,0.00276,0.00158
2023-10-30 17:30:00,0.00024,0.00024
2023-10-30 17:45:00,0.00022,0.00024
2023-10-30 18:00:00,0.00022,0.00012
2023-10-30 18:15:00,0.00015,0.0
2023-10-30 18:30:00,7e-05,0.0
2023-10-30 18:45:00,0.0,0.0
2023-10-30 19:00:00,0.0,0.0
2023-10-30 19:15:00,0.0,0.0
2023-10-30 19:30:00,0.0,0.0
2023-10-30 19:45:00,0.0,0.0
2023-10-30 20:00:00,0.0,0.0
2023-10-30 20:15:00,0.0,0.0
2023-10-30 20:30:00,0.0,0.0
2023-10-30 20:45:00,0.0,0.0
2023-10-30 21:00:00,0.0,0.0
2023-10-30 21:15:00,0.0,0.0
2023-10-30 21:30:00,0.0,0.0
2023-10-30 21:45:00,0.0,0.0
2023-10-30 22:00:00,0.0,0.0
2023-10-30 22:15:00,0.0,0.0
2023-10-30 22:30:00,0.0,0.0
2023-10-30 22:45:00,0.0,0.0
2023-10-30 23:00:00,0.0,0.0
2023-10-30 23:15:00,0.0,0.0
2023-10-30 23:30:00,0.0,0.0
2023-10-30 23:45:00,0.0,0.0
